scenario,year,liquidity_factor,total_mac_mean,total_mac_min,total_mac_max,total_mac_q1,total_mac_q3,percentage_change_mac,λ_ets_min,λ_ets_Q1,λ_ets_mean,λ_ets_Q3,λ_ets_max,λ_product_min,λ_product_Q1,λ_product_mean,λ_product_Q3,λ_product_max,index
22,2025,30.0,107621.40226799999,26124.5092,296045.8794,63351.365000000005,145312.3084,177.2769683057411,211.4441,259.0458,286.3023,308.9679,357.873,1.0,1.0,1.0,1.0,1.0,1.0
23,2025,30.0,112372.00144400001,1.737,295978.7707,57547.922125,170346.67195,189.51646444124813,2.6128,12.0475,23.5934,37.573,84.0069,1.0,1.0,1.0,1.0,1.0,2.0
24,2025,30.0,107777.53301199999,19566.2925,296000.9444,57966.063725,147081.250725,177.67922527734078,184.709,228.7431,254.1389,275.8681,325.2993,1.0,1.0,1.0,1.0,1.0,3.0
25,2025,30.0,107929.49268799998,17021.074,295999.298,57194.69995,150050.569875,178.0707358633214,173.0746,215.206,240.2958,262.0312,311.7878,1.0,1.0,1.0,1.0,1.0,4.0
26,2025,30.0,108101.11409399999,14798.593,295992.5975,55332.059775,153784.80082499998,178.51290314742303,162.1229,202.9993,227.9474,249.7107,299.7301,1.0,1.0,1.0,1.0,1.0,5.0
27,2025,30.0,108281.152752,12943.1121,295983.7084,54074.844375,154326.18855,178.97675673245402,152.3104,192.0018,216.8501,238.667,288.8662,1.0,1.0,1.0,1.0,1.0,6.0
28,2025,30.0,109228.395566,7671.1228,367928.4444,57805.502325,152396.872425,181.41724357039053,116.2102,193.6809,242.4566,287.9146,400.9993,1.0,1.0,1.0,1.0,1.0,7.0
29,2025,30.0,109398.666032,6544.836,367913.6862,56232.7223,155584.42605,181.85593027776974,107.8385,182.0343,230.1078,275.6806,389.8177,1.0,1.0,1.0,1.0,1.0,8.0
30,2025,30.0,109574.756872,5597.3268,367900.7809,54515.72225,155584.42605,182.30961266094502,100.1848,171.3134,219.0236,264.6382,380.024,1.0,1.0,1.0,1.0,1.0,9.0
31,2025,30.0,109257.84759999998,6045.7991,295949.4609,50537.237725,165129.021725,181.49312411576398,106.936,143.9128,168.0919,189.9758,241.2644,1.0,1.0,1.0,1.0,1.0,10.0
22,2035,30.0,107621.40226799999,26124.5092,296045.8794,63351.365000000005,145312.3084,177.2769683057411,416.0172,509.6401,563.2472,607.826,704.0136,1.0,1.0,1.0,1.0,1.0,11.0
23,2035,30.0,112372.00144400001,1.737,295978.7707,57547.922125,170346.67195,189.51646444124813,472.9077,584.007,644.9314,694.1449,795.4032,1.0,1.0,1.0,1.0,1.0,12.0
24,2035,30.0,107777.53301199999,19566.2925,296000.9444,57966.063725,147081.250725,177.67922527734078,398.8293,493.8826,548.7014,595.6062,702.3106,1.0,1.0,1.0,1.0,1.0,13.0
25,2035,30.0,107929.49268799998,17021.074,295999.298,57194.69995,150050.569875,178.0707358633214,391.3684,486.6145,543.3336,592.47,704.9554,1.0,1.0,1.0,1.0,1.0,14.0
26,2035,30.0,108101.11409399999,14798.593,295992.5975,55332.059775,153784.80082499998,178.51290314742303,383.853,480.6096,539.6615,591.1757,709.5754,1.0,1.0,1.0,1.0,1.0,15.0
27,2035,30.0,108281.152752,12943.1121,295983.7084,54074.844375,154326.18855,178.97675673245402,377.4968,475.8532,537.4244,591.4848,715.8754,1.0,1.0,1.0,1.0,1.0,16.0
28,2035,30.0,109228.395566,7671.1228,367928.4444,57805.502325,152396.872425,181.41724357039053,262.7799,437.964,548.2231,650.9855,906.6333,1.0,1.0,1.0,1.0,1.0,17.0
29,2035,30.0,109398.666032,6544.836,367913.6862,56232.7223,155584.42605,181.85593027776974,255.3152,430.9983,544.7815,652.6496,922.8151,1.0,1.0,1.0,1.0,1.0,18.0
30,2035,30.0,109574.756872,5597.3268,367900.7809,54515.72225,155584.42605,182.30961266094502,248.2982,424.6099,542.8207,655.8431,941.7542,1.0,1.0,1.0,1.0,1.0,19.0
31,2035,30.0,109257.84759999998,6045.7991,295949.4609,50537.237725,165129.021725,181.49312411576398,347.2866,467.3564,545.8595,616.911,783.4355,1.0,1.0,1.0,1.0,1.0,20.0
